"","Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"110","Isn't SAS better and more valuable to know than R?﻿","EvaSlash","0","0","2016-03-21T07:32:53.722Z","z13zvn0jhtupc1sli22mstxh0kbhyb2ra04","None","FALSE","W2GZFeYGU3s"
"2","This guy has forgot DELPHI that still exist now in 2015 and is the 
continuation of Pascal and oriented objet pascal Embarcadero provide RAD 
studio IDE in pascal and now also Free pascal is still alive from what I 
know . From my point of view Pascal will still have good day to live and go 
futther .﻿","Pifrond","1","1","2016-02-15T01:29:41.418Z","z133envbmlimj33fz23kjj14evyjinycj","None","FALSE","W2GZFeYGU3s"
"3","A basic - Android mobile app.
This might be helpful.

Go to >> google Play Store >> type ""R Programming Solution"" >> then install 
and enjoy.
Or directly can be found from the following link.
https://play.google.com/store/apps/details?id=com.sanjoy.rapp&hl=en﻿","Learn R Programming in Bangla","0","0","2016-01-23T15:03:34.782Z","z12pur4iftynjfmh504chdqywszpxxszz4k","None","FALSE","W2GZFeYGU3s"
"4","Eh... FORTRAN is still widely, widely used.﻿","Alejandro Castellanos","0","0","2016-01-16T03:31:25.693Z","z13cvl1ymk2ncdzxc04cj315dtzpzvrijvw0k","None","FALSE","W2GZFeYGU3s"
"5","Eh... FORTRAN is still widely, widely used.﻿","Alejandro Castellanos","0","0","2016-01-16T03:27:04.302Z","z122cbnpuuenizuxg04cj315dtzpzvrijvw0k","None","FALSE","W2GZFeYGU3s"
"6","After watching this.. I am curious to learn.. R !! Thanks﻿","Sandeep Verma","0","0","2015-12-06T09:46:47.888Z","z13gvzfyqrejctagd04cd3cy5sb3unb1p","None","FALSE","W2GZFeYGU3s"
"7","Thanks, its good to know what you are learning R for, and this message 
helps clarify that.﻿","Yvette Schlussel","0","0","2015-10-22T17:30:46.700Z","z13gx51gwya1e3eti22vvlwi0s22gvdgl04","None","FALSE","W2GZFeYGU3s"
"8","don't you dare say a bad word about FORTRAN, real men still use it, and 
will keep using it.﻿","bocckoka","0","3","2015-08-24T18:31:22.855Z","z12jjpyotu3nt5zpa04ccjkadvy5hbhiwtw0k","None","FALSE","W2GZFeYGU3s"
"9","Today I am beginning to learn R programming with Coursera, very excited 
about that!! It's going to be my first programming language.﻿","Laura Alejandra Manchola Rojas","4","4","2015-08-22T21:21:35.050Z","z13wszlhjvzci35mt22ivt2ibnazj3hv3","None","FALSE","W2GZFeYGU3s"
"10","I seriously need to up my statistical skills. I've used SPSS for my masters 
work and am self taught for that program and for the statistics I used. I 
looked at R, but it seemed daunting with the huge learning curve I had. I 
use GIS too, and just read that ESRI has built a bridge for R to ArcMap. 
How does one begin to learn R? Youtubes?﻿","Yvette Wiley","7","1","2015-07-25T05:12:20.255Z","z122wxgjuujkhnobm04cchubdqridxnk2","None","FALSE","W2GZFeYGU3s"
"11","I don't agree, learning language that lasts for decades would be important 
in world where programming means only knowing syntax.
I believe that in this world where we live in you should learn a new 
programming language (with different paradigm) every year and once in a 
while take a look back at some old code you wrote and see how different 
programming environments shapes your programming (crafting) skill.

p.s. and what about freepascal?﻿","moofymoo","0","0","2015-06-08T20:08:06.190Z","z13czt2g4wievlab504cjlwaxviiz3rawdw","None","FALSE","W2GZFeYGU3s"
"12","Well.. I think you've made my choice clear :)﻿","John Toal","0","0","2015-05-05T23:06:55.289Z","z13einxgylbcit30j23ns3qbooibsxcp004","None","FALSE","W2GZFeYGU3s"
"13","great video thank you for sharing that.﻿","Ramin Armanfar","0","1","2015-04-12T01:28:26.663Z","z12lfhb5jwiyunziy04ccbujbkr1jbd4gs00k","None","FALSE","W2GZFeYGU3s"
"14","Need some advice guys. As a medical graduate will learning R programming 
help me to boost my CV specially when applying for research electives and 
stuff ? ﻿","wael sayed","0","0","2015-03-22T22:58:42.217Z","z13xzt24kxe3xnsy204cj5agjzybcbl451o","None","FALSE","W2GZFeYGU3s"
"15","Hello. Its 2015 as I watch this video. Is learning the R programming 
language still worth it?﻿","Ernesto Oropeza","2","0","2015-03-11T04:40:04.474Z","z12gwvmyrr21xtyuc23lhtngiwiqu3v3w","None","FALSE","W2GZFeYGU3s"
"16","One word only: Fantastic!

Thanks a lot :D﻿","Victor Augusto","2","2","2014-09-17T17:44:57.866Z","z13zu3lxkka4drlu0230sfhpwxjtc3nhu04","None","FALSE","W2GZFeYGU3s"
"17","Thanks for the Video. I faced the same problem when I learned SAS. Now I am 
out of learning and can't have access to it. besides SAS is freaky 
expensive  around $ 10,000 and who is gonna pay for that? R is daunting at 
first but offers many advantages in the middle to long term. chiefly its 
free and means that you can readily download it and perform all the cutting 
edge statistical- Econometics tests and advanced tests for data analytics﻿","sammy0722","0","1","2014-09-04T22:44:31.852Z","z12vwzlyelu1jtgkj225ylijvxnsgj1jn04","None","FALSE","W2GZFeYGU3s"
"18","I discover you channel today, and I saw your videos... Thanks very much... 
I know now that I must lear R; I know that I don´t have any knowledge of 
programming, but I want to lear and your videos help so much. Thanks 
again.!﻿","Roberto CC","0","0","2014-06-07T02:51:38.648Z","z13tefoxzxulxdxkr23xul1h3nnxczejw04","None","FALSE","W2GZFeYGU3s"
"19","You can buy Pascal compiler and it is relatively common. It is called 
Embarcadero RAD Studio (Formerly known as Delphi) and There is a great open 
source Pascal compiler called FreePascal.﻿","Baqer Mamouri","2","0","2014-05-15T07:11:25.916Z","z12uu30qzy2kxpmmu23dgvtxzxn1hx21e","None","FALSE","W2GZFeYGU3s"
